Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,6.140000,6.155000,6.000000,6.000000,5.962434,1220690
2018-03-04,6.010000,6.100000,6.010000,6.030000,5.992247,1278481
2018-03-05,6.080000,6.170000,6.080000,6.120000,6.081682,1220360
2018-03-06,6.090000,6.130000,6.020000,6.080000,6.041933,1396043
2018-03-07,6.090000,6.130000,6.050000,6.080000,6.041933,1287611
2018-03-08,6.070000,6.180000,6.050000,6.130000,6.091620,1487874
2018-03-11,6.190000,6.230000,6.130000,6.170000,6.131370,1035661
2018-03-12,6.150000,6.170000,6.045000,6.060000,6.022058,1254407
2018-03-13,6.020000,6.060000,6.000000,6.040000,6.002183,1174134
2018-03-14,6.020000,6.030000,5.940000,5.940000,5.902810,1916729
2018-03-15,5.950000,6.090000,5.950000,6.020000,5.982309,1679197
2018-03-18,5.960000,6.075000,5.950000,6.040000,6.002183,1128557
2018-03-19,6.290000,6.340000,5.700000,5.760000,5.723937,5444805
2018-03-20,5.780000,6.020000,5.710000,5.980000,5.942559,3736494
2018-03-21,5.910000,5.990000,5.780000,5.860000,5.823310,4399642
2018-03-22,5.770000,5.770000,5.650000,5.700000,5.664312,2845351
2018-03-25,5.660000,5.680000,5.580000,5.630000,5.594751,2171116
2018-03-26,5.660000,5.720000,5.570000,5.600000,5.564938,2342600
2018-03-27,5.580000,5.660000,5.540000,5.550000,5.515252,1505702
2018-03-28,5.540000,5.600000,5.415000,5.490000,5.455627,3220230
2018-04-03,5.490000,5.560000,5.480000,5.540000,5.505314,2032664
2018-04-04,5.500000,5.550000,5.440000,5.510000,5.475502,2265736
2018-04-05,5.500000,5.560000,5.450000,5.520000,5.485439,989935
2018-04-06,5.540000,5.540000,5.450000,5.500000,5.465565,860910
2018-04-09,5.490000,5.540000,5.460000,5.500000,5.465565,1365147
2018-04-10,5.540000,5.550000,5.450000,5.500000,5.465565,1720698
2018-04-11,5.500000,5.510000,5.420000,5.420000,5.386065,2099251
2018-04-12,5.420000,5.490000,5.400000,5.410000,5.376128,992166
2018-04-13,5.420000,5.500000,5.410000,5.450000,5.415877,866269
2018-04-16,5.460000,5.490000,5.400000,5.400000,5.385956,706507
2018-04-17,5.400000,5.440000,5.320000,5.340000,5.326112,1054437
2018-04-18,5.360000,5.400000,5.335000,5.390000,5.375982,935460
2018-04-19,5.230000,5.310000,5.150000,5.260000,5.246320,3606605
2018-04-20,5.200000,5.220000,5.110000,5.120000,5.106684,1420633
2018-04-23,5.220000,5.260000,5.210000,5.250000,5.236346,2008861
2018-04-24,5.270000,5.300000,5.180000,5.240000,5.226372,2220453
2018-04-26,5.300000,5.350000,5.230000,5.280000,5.266268,3168913
2018-04-27,5.340000,5.555000,5.330000,5.520000,5.505644,2266835
2018-04-30,5.610000,5.690000,5.570000,5.580000,5.565487,3618481
2018-05-01,5.630000,5.720000,5.630000,5.680000,5.665227,4235445
2018-05-02,5.680000,5.710000,5.650000,5.670000,5.655253,2193059
2018-05-03,5.750000,5.860000,5.720000,5.790000,5.774941,2176227
2018-05-04,5.850000,5.850000,5.740000,5.750000,5.735045,1046284
2018-05-07,5.810000,5.850000,5.635000,5.650000,5.635305,1064461
2018-05-08,5.710000,5.750000,5.640000,5.640000,5.625331,1307098
2018-05-09,5.670000,5.750000,5.665000,5.740000,5.725071,1331861
2018-05-10,5.760000,5.840000,5.750000,5.790000,5.774941,1064303
2018-05-11,5.790000,5.850000,5.770000,5.780000,5.764967,978864
2018-05-14,5.750000,5.770000,5.520000,5.530000,5.515618,2353533
2018-05-15,5.520000,5.560000,5.370000,5.370000,5.356034,2815072
2018-05-16,5.390000,5.460000,5.320000,5.330000,5.316138,1710963
2018-05-17,5.360000,5.430000,5.330000,5.420000,5.405904,1043026
2018-05-18,5.450000,5.460000,5.380000,5.400000,5.385956,1034603
2018-05-21,5.420000,5.420000,5.330000,5.330000,5.316138,780664
2018-05-22,5.350000,5.360000,5.250000,5.260000,5.246320,1084309
2018-05-23,5.280000,5.360000,5.250000,5.350000,5.336086,1148696
2018-05-24,5.330000,5.460000,5.330000,5.430000,5.415877,1142529
2018-05-25,5.460000,5.630000,5.430000,5.530000,5.515618,1678198
2018-05-28,5.560000,5.590000,5.530000,5.590000,5.575462,1736295
2018-05-29,5.530000,5.540000,5.395000,5.420000,5.405904,3566511
2018-05-30,5.450000,5.460000,5.360000,5.460000,5.445800,1487453
2018-05-31,5.520000,5.660000,5.505000,5.570000,5.555514,4750935
